year,nyc_avg_temp,g_avg_temp,diff
1750,10.07,8.72,1.35
1751,10.79,7.98,2.81
1752,2.81,5.78,-2.97
1753,9.52,8.39,1.13
1754,9.88,8.47,1.41
1755,6.61,8.36,-1.75
1756,9.94,8.85,1.09
1757,8.89,9.02,-0.13
1758,8.15,6.74,1.41
1759,9.01,7.99,1.02
1760,7.73,7.19,0.54
1761,10.18,8.77,1.41
1762,9.55,8.61,0.94
1763,7.23,7.5,-0.27
1764,9.55,8.4,1.15
1765,8.96,8.25,0.71
1766,10.09,8.41,1.68
1767,8.52,8.22,0.3
1768,8.67,6.78,1.89
1769,9.1,7.69,1.41
1770,9.04,7.69,1.35
1771,10.18,7.85,2.33
1772,9.64,8.19,1.45
1773,10.08,8.22,1.86
1774,9.52,8.77,0.75
1775,10.24,9.18,1.06
1776,9.13,8.3,0.83
1777,8.77,8.26,0.51
1778,6.89,8.54,-1.65
1779,0.25,8.98,-8.73
1780,,9.43,-9.43
1781,9.79,8.1,1.69
1782,9.15,7.9,1.25
1783,8.81,7.68,1.13
1784,8.4,7.86,0.54
1785,8.49,7.36,1.13
1786,8.98,8.26,0.72
1787,8.97,8.03,0.94
1788,9.77,8.45,1.32
1789,9.42,8.33,1.09
1790,9.39,7.98,1.41
1791,9.37,8.23,1.14
1792,8.72,8.09,0.63
1793,9.88,8.23,1.65
1794,9.83,8.53,1.3
1795,9.21,8.35,0.86
1796,8.97,8.27,0.7
1797,8.85,8.51,0.34
1798,9.71,8.67,1.04
1799,9.19,8.51,0.68
1800,9.58,8.48,1.1
1801,10,8.59,1.41
1802,10.29,8.58,1.71
1803,10.07,8.5,1.57
1804,9.69,8.84,0.85
1805,10.43,8.56,1.87
1806,9.38,8.43,0.95
1807,9.17,8.28,0.89
1808,9.57,7.63,1.94
1809,8.87,7.08,1.79
1810,9.35,6.92,2.43
1811,9.43,6.86,2.57
1812,7.8,7.05,0.75
1813,8.93,7.74,1.19
1814,8.7,7.59,1.11
1815,8.27,7.24,1.03
1816,7.92,6.94,0.98
1817,7.78,6.98,0.8
1818,8.13,7.83,0.3
1819,9.07,7.37,1.7
1820,8.98,7.62,1.36
1821,8.53,8.09,0.44
1822,9.84,8.19,1.65
1823,8.64,7.72,0.92
1824,9.29,8.55,0.74
1825,10.21,8.39,1.82
1826,9.92,8.36,1.56
1827,9.26,8.81,0.45
1828,10.7,8.17,2.53
1829,9.17,7.94,1.23
1830,10.32,8.52,1.8
1831,9.07,7.64,1.43
1832,9.15,7.45,1.7
1833,9.15,8.01,1.14
1834,9.32,8.15,1.17
1835,8.48,7.39,1.09
1836,7.51,7.7,-0.19
1837,8.12,7.38,0.74
1838,8.73,7.51,1.22
1839,9.17,7.63,1.54
1840,9.27,7.8,1.47
1841,9,7.69,1.31
1842,9.41,8.02,1.39
1843,8.49,8.17,0.32
1844,9.12,7.65,1.47
1845,9.49,7.85,1.64
1846,9.66,8.55,1.11
1847,9.3,8.09,1.21
1848,9.54,7.98,1.56
1849,8.83,7.98,0.85
1850,9.1,7.9,1.2
1851,9.26,8.18,1.08
1852,8.98,8.1,0.88
1853,9.68,8.04,1.64
1854,9.56,8.21,1.35
1855,9.11,8.11,1
1856,8.2,8,0.2
1857,8.52,7.76,0.76
1858,9.13,8.1,1.03
1859,9.17,8.25,0.92
1860,9.18,7.96,1.22
1861,9.47,7.85,1.62
1862,9,7.56,1.44
1863,9.09,8.11,0.98
1864,9.29,7.98,1.31
1865,9.64,8.18,1.46
1866,8.95,8.29,0.66
1867,8.59,8.44,0.15
1868,7.95,8.25,-0.3
1869,8.85,8.43,0.42
1870,10.04,8.2,1.84
1871,8.94,8.12,0.82
1872,8.61,8.19,0.42
1873,8.44,8.35,0.09
1874,9.06,8.43,0.63
1875,7.74,7.86,-0.12
1876,9.35,8.08,1.27
1877,10.15,8.54,1.61
1878,10.38,8.83,1.55
1879,9.37,8.17,1.2
1880,9.99,8.12,1.87
1881,9.77,8.27,1.5
1882,9.22,8.13,1.09
1883,8.59,7.98,0.61
1884,9.36,7.77,1.59
1885,8.37,7.92,0.45
1886,8.9,7.95,0.95
1887,9.1,7.91,1.19
1888,8.31,8.09,0.22
1889,9.86,8.32,1.54
1890,9.62,7.97,1.65
1891,10,8.02,1.98
1892,9.15,8.07,1.08
1893,8.68,8.06,0.62
1894,9.95,8.16,1.79
1895,9.22,8.15,1.07
1896,9.51,8.21,1.3
1897,9.63,8.29,1.34
1898,10.24,8.18,2.06
1899,9.51,8.4,1.11
1900,10.4,8.5,1.9
1901,9.29,8.54,0.75
1902,9.43,8.3,1.13
1903,9.32,8.22,1.1
1904,7.87,8.09,-0.22
1905,9.1,8.23,0.87
1906,9.9,8.38,1.52
1907,8.49,7.95,0.54
1908,9.87,8.19,1.68
1909,9.51,8.18,1.33
1910,9.55,8.22,1.33
1911,9.91,8.18,1.73
1912,9.24,8.17,1.07
1913,10.76,8.3,2.46
1914,9.02,8.59,0.43
1915,9.85,8.59,1.26
1916,9.1,8.23,0.87
1917,8.24,8.02,0.22
1918,9.51,8.13,1.38
